,number,smiles,mapped_smiles,component_name,n_conformers
69,70,COc1cc(C)ccc1O,[H:18][c:7]1[c:8]([c:9]([c:3]([c:4]([c:5]1[C:6]([H:15])([H:16])[H:17])[H:14])[O:2][C:1]([H:11])([H:12])[H:13])[O:10][H:20])[H:19],component-070,1
70,71,CC[N+](=O)[O-],[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[N+:3](=[O:4])[O-:5],component-071,1
71,72,CCC[N+](=O)[O-],[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[N+:4](=[O:5])[O-:6],component-072,3
72,73,COc1cccc(OC)c1O,[H:16][c:5]1[c:4]([c:3]([c:10]([c:7]([c:6]1[H:17])[O:8][C:9]([H:18])([H:19])[H:20])[O:11][H:21])[O:2][C:1]([H:12])([H:13])[H:14])[H:15],component-073,1
73,74,Cc1ccc(C)c(O)c1,[H:13][c:3]1[c:4]([c:5]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:19])[O:8][H:18])[C:6]([H:15])([H:16])[H:17])[H:14],component-074,1
74,75,Oc1cccc2ccccc12,[H:17][c:8]1[c:9]([c:10]([c:11]2[c:6]([c:7]1[H:16])[c:5]([c:4]([c:3]([c:2]2[O:1][H:12])[H:13])[H:14])[H:15])[H:19])[H:18],component-075,1
75,76,Cc1cc(C)cc(O)c1,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:19])[O:8][H:18])[H:17])[C:5]([H:14])([H:15])[H:16],component-076,1
76,77,Nc1cccc2ccccc12,[H:18][c:8]1[c:9]([c:10]([c:11]2[c:6]([c:7]1[H:17])[c:5]([c:4]([c:3]([c:2]2[N:1]([H:12])[H:13])[H:14])[H:15])[H:16])[H:20])[H:19],component-077,1
77,78,O=[N+]([O-])OCCO,[H:10][C:6]([H:11])([C:5]([H:8])([H:9])[O:4][N+:2](=[O:1])[O-:3])[O:7][H:12],component-078,2
78,79,CC(C)C[C@@H](C)O,[H:6][C@@:5]([C:7]([H:18])([H:19])[H:20])([C:4]([H:16])([H:17])[C:2]([H:12])([C:1]([H:9])([H:10])[H:11])[C:3]([H:13])([H:14])[H:15])[O:8][H:21],component-079,3
79,80,CC[C@@H](O)C(C)C,[H:4][C@@:3]([C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])([C:6]([H:15])([C:7]([H:16])([H:17])[H:18])[C:8]([H:19])([H:20])[H:21])[O:5][H:14],component-080,3
80,81,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7],component-081,2
